stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0.85,0,0
21Day,0.37,0,0,0,0.74,0.37,0.37,0.37,0,0.37,0.37
3Month,0.21,0.1,0,0.1,0,0,0,0,0,0,0
22Month,0,0.14,0.96,0,0,0,0,0,0,0,0
