stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0.37,0.37,0,0,0,0,1.48,0,0,0,0,0,0,0
3Month,0.73,0.1,0.83,2.5,0,0,0.31,0.21,0.62,0.62,0,0.1,0,0.1,0.94,0,0.1,0.31,0.1
22Month,0,0,0,0.27,0.14,0,0,0,0.27,0,0,0,0.14,0,0,0.14,0,0,0
