stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,14,1,0,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0.56,0,0,0,0.56,0,0.28,0,0,0,0,0,0,0
21Day,0,0.37,1.48,0.37,0,0,0,1.48,0,0,0,0.74,6.66,1.11,1.11,0.37,5.18,0,0,5.92,0,0.37,0,1.11,0,0.37,1.11,0,0,0,2.96
3Month,0.21,0.21,3.22,0,0.1,0.1,1.35,4.68,0,0,1.35,8.43,0.21,1.56,2.29,0.62,4.06,0.83,0,33.08,2.39,0,0,0.62,0.1,0,0.42,2.08,0.1,1.04,7.39
22Month,0.27,0.41,3.01,0,0,0.14,0.27,3.55,0.27,0,3.83,2.87,0,2.32,0.41,0,1.91,0.27,0.14,15.03,0.27,0,0,0.68,0.14,0,0.14,0.96,0.14,0,5.88
