stage,Immune_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0,0.28,0,0,0
3Month,0.1,0,0.31,0.1,0,0,1.46,0.83
22Month,0,0,0,0,0,0,1.09,0
