stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,1,0,0,0,0
72hpf,1.13,0.28,1.13,0.56,0,0,0,0,0.28,0,0.28,0.56,0,0,0,0.85,1.97,0,1.13,0,0.28,0,0
21Day,0,0,2.59,0,0.74,0,0.37,0,0,0,0,0.74,0,2.22,0,0.37,1.85,0,0.74,0.37,0.37,0,0.37
3Month,0,0.83,0.83,0.21,0,0.1,0,0.21,0,0.1,0,0.31,0.1,0,0,0,0,0.1,0,0,0,0.21,0
22Month,0,0.68,0,0,0,0,0,0.27,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0
