stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,9.86,2.82,0,0,0,0.28,0
21Day,0,0.37,0,0,0,0,0,0,0,2.96,0.74,0,0,0,0,0
3Month,0.31,0,0.62,0.21,0.1,0.31,0,0.1,0.1,0.1,0,0.1,0.1,0.21,0,3.54
22Month,0,0,2.32,0.41,0,0,0.27,0,0,0,0,0,0,0,0,0
