stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0.37,0,0,2.59,0.37,0,0.37,0.37,0.37,0,0,0,0,0,0.74,0,0,0.74
3Month,0.1,0.21,1.66,0,0,0.52,0.62,1.25,0.21,0.31,0.94,0.1,0.52,1.35,0.31,0,0,0.1,0.42,0.52,17.79,0.31,29.33,6.03
22Month,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0.14,0,0,0.14,0,1.5,0,0,1.09
