stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,3,2,33,3,0,0,0,0,0,1,0,0,0,0,2,3,8,50,0,0,0,0,33,1796,0,0,4,0,0,0,0,0,0,0,0
72hpf,2.54,0.28,5.92,1.69,1.41,0,0,0.28,0,0,0,0,0,0,3.1,2.54,0.85,5.07,0,0.28,0,0.28,268.88,133.88,1.13,0.28,7.05,0.28,0.28,7.33,0.56,0,1.13,0,0
21Day,1.48,0.37,3.7,0.37,1.11,0.37,0.74,0,0,0,0,0,1.48,1.11,1.11,2.22,0.37,6.66,0,0,0,0,75.11,53.65,0,0.74,0.74,3.33,0,2.96,3.7,0.37,0,0,1.11
3Month,0,0.31,0.73,0.1,0,0,2.29,0.31,0,0,0.73,0.21,0,0.42,0.42,1.35,0.21,1.25,0.31,0,0.21,0,0.1,0.21,0.62,0,0,0.1,1.46,0.42,0.1,0,0,1.46,0.1
22Month,0,0.14,0.55,0,0,0,0.55,0.14,0.14,0,2.87,0.27,0,0.14,0,0,0.14,0.96,0,0,0,0,0,0,0,0,0.27,0,1.37,0,0,0,0,0,0.14
