stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,2.82,0,1.13,0,0,0,0,4.51,0,0,0,1.13,0,0,0,0,0,0
21Day,1.11,0,0.74,0.37,0,0,0.37,0,0.37,0,0,0,0,0.37,0.37,0.37,0,4.81,0,0,0.37,0,2.22,0,0,0,0.74,0,0,0,0,0,0.37
3Month,0.1,0.21,0.21,1.77,0,0.1,0.1,0.21,0.73,0,3.33,0.42,0.1,0.73,0.1,0.31,0.62,1.35,0.62,0,0,0.21,0,0,0,0.1,0.31,0.1,0.21,0,0.1,0.1,0.21
22Month,0.14,0.27,0,0.68,0,0.14,0,0.55,2.05,0.14,13.8,0.27,0.27,1.5,0,0.41,1.09,1.23,0,0.55,0.27,0,0,0.14,0.14,0.27,0.55,0,0.14,0.14,0,0,0.14
