stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0.37,0,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.62,0.62,2.08,0.1,0.1,0,0.62,0.52,0.83,0,0,108.59,0.21,0,1.98,0.1,0.42,0.73,7.7,0.73,0.31,3.85,0.21,0.1,0.1,0.31,0.42,0,0.21,1.87,1.35,0,0,0,0.21,1.56,0.62
22Month,0.27,2.19,1.91,4.51,0,2.32,0.14,0.14,0.82,2.46,1.09,0,1331.38,2.05,0.27,8.06,0.41,0.55,2.46,8.61,0.55,13.39,3.42,0.14,0.14,0,0.41,1.09,1.23,0.14,2.05,1.09,0.14,0.14,0.14,0.14,0,1.37
