stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,8,3,0,0,0,3,25,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.56,0,2.82,1.41,5.64,0,0.56,0,0,0,0,0,0,0,0.85,0,1.69,4.79,1.13,5.64,1.41,0,0.28,33.26,21.14,0,0.85,9.3,1.97,0,1.13,0.56,0,1.13,0,0,0
21Day,2.59,0,0.37,5.55,0,20.35,0,2.22,0,0,0,0,0,0.37,2.22,3.7,1.85,1.11,2.96,1.85,3.7,0,1.48,0.37,5.92,2.96,0.74,0,2.96,2.96,0,0.37,0.74,0.37,0,0,0,0.74
3Month,0,0,0.1,3.43,0.1,0,0.21,0,0.1,1.04,1.14,0,0,5.51,0.94,0.42,2.29,0,0.83,0.52,0.73,0,0.21,1.35,0.21,0,0.31,0.1,0.21,0.42,2.29,0.31,0,0,0,0.42,0.52,0.62
22Month,0.14,0,0.27,1.09,0,0,0.14,0,0,0.55,4.92,0.14,0,14.76,0.82,1.23,1.64,0,0,2.6,0.96,0.14,0.27,0,0,0,0.27,0,0,0.14,0.55,0.27,0,0,0,0.14,0,0.41
