stage,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0.37,0,0
3Month,0.1,0,0,0.1,0.31
22Month,0,0.96,0.14,0.68,0
