stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
3Month,0.31,20.18,0.1,0.1,2.29,0.31,0,1.14,0.1,0.83,1.14,0.21,0.1,0.1,0.1,0.1,0.31,0.1,0.42,0.1,0.21
22Month,0,0.68,0,0.27,1.64,0,0.14,0.14,0,0.14,0.68,0,0,0,0,0,0,0.14,0,0,0
