stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0.37,0,0,8.88,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0,0,0,0.37
3Month,0,1.66,0,0.31,0.73,0.31,0,2.29,0.73,0,102.35,0.42,0.52,0.83,0.21,0,0.1,0.31,0,0.1,0.1,0.1,0.21,0.73,0.1,0.21,0.31,0.42
22Month,0.14,0.27,0,0,0.14,0.41,0.41,5.6,0,0.14,47.55,0,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0
