stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0.28,0,0,1.13,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0.56,0.28,0,0,0,0,0,0,0
21Day,2.59,0,0,0,0,0.74,0,0,0,0,0.37,1.11,1.48,0,0.37,0,0.37,0,0.37,0,0,0,0,0,0
3Month,0.1,0.1,0.1,1.14,0.42,1.46,0.52,3.54,0.1,1.56,0.21,6.45,0.21,0.21,2.5,0,0,0.31,0,0.1,0.21,3.43,0.1,1.66,0.42
22Month,0.14,0,0,0.14,0.14,2.87,0.96,3.28,0.14,0.41,0,1.09,0,0,0.27,0,0,0.27,0,0.14,0,0.27,0,0,0.27
