stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0.28,0,2.25,0
21Day,0,0,0,0,0,0.37,0.74,0,0,0,0,1.48,0
3Month,0,0.1,0.62,0,0.21,0.52,0.42,0.1,0.1,0,0.42,0,0.1
22Month,0,0,0.14,0.14,0,1.09,0.55,0.14,0,0,0,0,0
