stage,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,1,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,0.28
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0
22Month,0,0.14,0.14,0.41,0.82,0.14,0.14,0.14,0.27,0,0.14,0
