stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,7.05,3.95,0,10.15,1.97,14.37,0.85,0,0,0,0,0.85,0,4.23,22.27,1.41,37.77,0,0.85,0.56,0.28,119.79,53.83,0.85,1.13,24.8,1.13,0,9.58,0.56,0.28,1.13,0
21Day,29.6,4.81,1.85,115.81,4.07,56.61,9.25,1.85,5.55,27.01,2.22,24.42,12.21,8.51,59.94,18.87,159.46,0.37,0.74,11.47,0,123.21,55.5,1.48,3.33,41.81,22.94,0.37,14.06,6.29,17.02,2.96,15.54
