stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0.28,0,0.28,5.64,0.56,0,0,0.85,0.28,0.28,0
21Day,0.74,0.37,0.37,0.74,0,0,0,0,1.11,4.07,0,0.37,0.74,2.22,1.11,1.11,0.37
3Month,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.41,0,0,0,0.14,0,0,0,0,0,0,0,0
