stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,1,111,1,0,2,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.85,0.28,2.82,0,0,0,0,0,0,0,0,0,0,0.28,0.28,2.82,0,0.28,0,0,7.05,21.98,0,0,1.13,0,0,0.28,0,0,0,0
21Day,0.74,0,0,1.11,0.37,0.74,0,0.37,0,0,0,0,0,0.74,0.37,0,0.37,0,2.22,0,0,0.37,0,2.22,12.95,0.74,0,1.11,0,0.74,0.37,0,0,0,0.37
3Month,0,0.42,0.1,3.64,0,0,0.21,0.31,1.04,0.94,0,3.12,1.04,0.31,1.35,0.31,0.52,1.14,1.87,0.21,0,0.31,0.62,0.52,0.42,2.29,0,0,1.25,136.99,0,0.1,0.94,71.67,1.14
22Month,0,0,0.27,0,0,0,0.14,0.14,0,0.55,0.27,0.82,0,0,0,0,0.14,0,0.14,0,0,0.27,0,0,0,0.96,0.55,0.14,0,10.25,0,0,0,0.27,0.14
