stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0,4.23,0,0.28,0,1.13,0,0,0,0,4.51,0,0,0,0,0
21Day,0.37,0,0,0.74,0,0,0,0,0,0,0.37,0,0.37,0,0,1.11,0,11.47,0,0,0.37,1.11,0.37,0,0,0,0.74,0,0.37,0,0,0
3Month,0,0.42,0,1.87,0,0.83,0.31,0.73,0.31,0,3.22,0.42,0,0.52,0.21,0.42,0.73,15.39,6.14,0,0.62,0,0,0.42,0.1,0,0,0,0.21,9.57,0.42,0.1
22Month,0,0.68,0.14,2.19,0,0.14,0.14,0,0.14,0,4.51,0.14,0,0.27,0.14,0,0.14,7.11,0.14,0,0.27,0,0,0.27,0,0.27,0.14,0.27,0.14,4.1,0,0.14
