stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,5.36,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0.37,0,1.48,0,0.37,1.11,0.37,0,0,0.37,0.37,0,0,0.37
3Month,0,0,0.1,0.31,0,0.1,0.1,0.21,0.31,0.1,0.31,0.1,0,0.1,0,0.1,0.52,0,0,0.62,0.21,0.1
22Month,0,0,0,0,0,0,0,0.55,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
