stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.85,0,1.41,0,0,0.56,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,1.11,0,0,1.85,0,0,7.03,0,0,0.37,0.74,0,0
3Month,0,0,0.42,0,0,0.1,0.21,0,0.31,0.21,0,0.42,0.1,0.1,0.31,0,0,0,0,0,2.91,0.21,0.83,0.21,0,0.31,0.1
22Month,0,0.14,0.27,0,0,0.27,0.55,0.14,3.55,0.41,0.14,0.55,0.14,0,0.27,0.14,0.14,0.14,0,0.14,3.01,0,0.27,0,0,0,0
