stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,197,1,0,6,0,0,0,0,0,1,0,0,0,1,2,1,3,13,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,507.89,4.79,0,11.56,2.25,18.6,0.85,0.85,0,0,0,0,1.41,0,6.2,36.08,2.54,32.69,0,1.13,1.13,0.85,162.34,79.48,0.56,1.97,0,40.59,0.28,0.56,12.68,0.56,0.85,1.97,0,0,0
21Day,300.8,1.48,2.22,27.01,0.74,17.76,3.7,0.37,0,0,5.18,0.74,6.66,4.44,1.48,13.69,5.55,32.93,0,0,2.59,0,34.41,15.54,0.37,0.74,0,10.36,11.84,1.11,5.18,2.22,4.07,0.37,0,0,2.22
3Month,4.68,0.21,0.1,1.77,0.1,0,0,0.52,0,0,2.29,0.52,0.1,0.73,1.46,0.1,0.31,1.66,0.31,0,0.52,0.1,0,0,0,0,0,0.1,0.1,17.47,0.21,0,0,0.1,0.1,0.73,0.1
22Month,0.68,0,0,1.5,0,0,0,0.41,0.14,0,10.8,0.14,0.27,0.41,0.41,0.41,0.27,0.68,0,0.41,0.41,0,0,0.14,0,0.14,0.14,0,0,12.71,0,0,0,0,0,0,0.14
