stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,T_cell
24hpf,2,1,1,0,0,0,0,0,0,1,5,0,0,0,15,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0.56,0,0,0,0,1.97,1.69,0,0,0.28,0
21Day,0.37,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0,1.48,0.37,0.37,0,0.37,0.37
3Month,0,0,0.1,0,0,0,0.1,0.31,0.1,0,0,0.1,0.21,0,0,0,0.1,0,0
