stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,6.76,1.41,0,0,0,0,0,0,0
21Day,0,0.37,0,0.37,0.37,0.37,0,0.37,0,0,0,0.37,0,2.59,0,0,0.37,0,0,0.37,0,0
3Month,0.1,0.42,0,0,0.21,1.14,0.31,0,0.31,0,0,0.1,0,0,0,0.1,0,0.1,0.21,0,1.66,0.31
22Month,0,0,0,0,0.14,7.11,0.14,0,0.14,0,0.41,0,0.14,0,0,0,0,0,0.14,0,0,0.14
