stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0,0
21Day,0,0,0.74,0,0.37,0,0,0,0,0,0,0.74,0,0.74,0.37,0,0.74,0,0
3Month,0,0,0.31,0.1,0,0,0,0,0.21,0.31,0.21,0,0.1,0.21,0,0,0,0.21,0.1
22Month,0,0,0,0,0,0.14,0.14,0.14,3.42,0.14,0,0,0,0.96,0,0,0,0,0.14
