stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,5.55,0,0,0,0,0,0,0,1.11,0.37,0,0.37,0,0,0,0
3Month,8.95,0,0.1,0,0.62,0.83,0.31,0.1,3.85,1.35,0,0,0.1,0.31,0.42,0.21
22Month,0.68,0.14,0.14,0.14,0.41,0.14,0.55,0,0.41,0.55,0.14,0,0.14,0,0,0
