stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,11,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,2,0,31,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.56,0.28,0,0,0,0,0,0,0,0,0.28,1.13,0.28,0.56,0,0,0,0.28,5.07,4.23,0.28,0,0,0.28,0,0,6.48,0,0,0,0,0
21Day,0,0,0,2.59,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0.74,0,0.37,0,0,0,0,3.33,1.48,0.37,0,0,0,0,0.74,1.85,0,1.11,0,0,0
3Month,0.1,0.73,0.62,41.19,0.94,0,0.31,0.83,1.46,0.1,8.43,1.98,0.1,3.64,17.68,3.64,2.08,2.18,0.73,0.1,0.73,3.02,13.83,1.04,3.33,0.31,0,0.52,1.46,62.31,1.25,0.1,1.14,0.83,241.84,1.98
22Month,0,0,0.14,19.81,0.14,0,0,0,0.82,0.82,4.37,0.14,0,0.41,2.6,1.5,0.55,1.37,0,0.14,0,0.41,3.42,0.14,3.69,0,0.55,0.27,0.14,25.83,0.41,0,0.27,0,0.68,0
