stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,0,0,0,8,78,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,1.13,1.13,0.56,0,0,0,0,0,0,0.85,0.28,0.85,2.82,0,5.64,0,0.28,0,0,70.18,28.47,0.28,0,1.41,0.85,0,1.13,0,0.28,0,0,0
21Day,1.48,0,6.29,0.74,2.96,3.33,0,0,0,1.11,0,2.59,0.37,0.37,1.48,2.59,2.59,0,0,1.11,0,26.64,17.39,0.37,0,2.59,2.22,0,0.74,0,0.74,0,0,1.11
3Month,0,0,2.39,0,0,0.21,0.52,0.52,0.1,2.6,0.42,0.1,1.87,0.21,0.52,0.83,0.73,0,0,0,0.21,0.31,0.1,0,0,0.1,0,1.46,0,0,0.1,0.21,0.1,0.21
22Month,0,0.55,1.09,0,0,0,0.14,1.09,0.41,5.47,0.41,0.55,2.32,0,0.14,0.55,0.82,0.14,0.68,0,0,0.41,0,0.14,0.14,0,0,0.55,0.14,0.41,0,0.14,0,0.27
