stage,Erythrocyte,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
24hpf,0,0,0,2,0,0,0
72hpf,0.28,0,0.28,7.61,0.28,0.28,0.28
21Day,0.37,0,0,4.07,0,0,0
22Month,0,0.41,0,0,0,0,0
