stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,3.95,0,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0,3.38,3.95,0.28,0,0.85,0,0.56,1.69,0.28,0.28,0,0,0
21Day,0,0,0,0.74,1.48,0,0,0.37,0,0,0,0,0.37,0.37,0.37,2.59,0,0,0,1.48,1.48,0,0,0,0,0.37,0.37,0,0,0,0,0
3Month,0.31,0.21,0,12.38,0.31,0.21,0.1,0.21,0,4.89,1.04,0.31,1.04,2.08,0.73,1.77,0.62,0.42,0.83,2.81,0,0.73,0.21,0.1,1.04,16.95,0.21,0,0.31,0.52,170.17,0.73
22Month,0,0,0.14,6.97,0.14,0,0.27,0,0.14,8.34,0.27,0.27,0.27,0.41,0.14,0.96,0.41,0,0.27,0.27,0.27,0.14,0,0,0,7.79,0.14,0,0,0,0.68,0.14
