stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0.56,1.41,0,0,0,0,0.28,3.38,0.28,0,0,0,0,0,0.56,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0.37,0.74,0,0,0,0.74,1.11,0,0,0,0,0,0,0,0,0.37
3Month,0,0.21,0,3.43,0,0.83,2.18,0,7.91,1.25,0.1,2.08,0.62,0.62,1.25,0.83,0.21,0.21,0.42,0.1,0.1,0.1,0.31,0.31,1.98,0.1,0,0.31,4.26,0.52
22Month,0,0,0.14,0.82,0,0,2.05,0.14,9.16,0.41,0.55,0.82,0.14,0.27,0.41,0.41,0,0,0,0.27,0,0.55,0,0,0.41,0,0,0,0,0.27
