stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.41,2.54,0,0,0,0,0,0,0,0,0,2.82,1.97,0.28,0,0,0,0,0.85,2.25,0.28,0,0,0,0,0.85,0.28,0,0,0,0
21Day,0,1.48,1.48,19.61,1.48,0,1.11,1.48,0,0,0,0,0.74,1.48,2.22,1.11,0.74,1.11,0,0,0,0.37,1.11,1.85,0,0,1.11,0,0,0,0.74,0,0,0
3Month,0,0.31,2.29,13.11,0.21,0.31,0.1,15.39,0.31,0,4.26,0.62,0.1,12.79,0.83,1.25,0.42,0.73,0.31,0.1,0.1,2.6,0.73,0.1,1.46,0.1,0.62,4.16,0.1,0,0,0.1,1.14,0.62
22Month,0,0.27,4.37,14.21,0.41,0.14,0,20.91,0.55,0.41,13.94,0.55,0,26.92,0.27,0.55,0.96,0.82,0.14,0.27,0.41,0.27,1.23,0.14,2.73,0.27,0.14,5.74,0.27,0,0,0,0,0.27
