stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0.28,0,0,0,0.28,1.41,0,0,0,0,0,0,0.28,0.85,0,0,0,0,0,0
21Day,0.37,0,1.11,3.33,0,0,0,0,0.74,0.37,0,4.44,0.37,0,0,0,0.37,0,0,0.37,0,0.37,0,0,0,1.48
3Month,0,0.21,0.31,3.54,1.04,0.1,2.08,0.52,0,4.99,0.1,0.52,1.35,0.31,0.21,0,0.62,0.1,0.1,0,0.1,0.1,0.52,0,0.31,1.56
22Month,0,0,0.55,1.91,0.14,0.96,5.19,0.27,0.55,6.7,0,0.55,1.09,0.27,0,0.41,0.27,0,0,0,0.14,0,0.14,0.27,0,0.41
