stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0.28,0.28,0,0,0,0,0,0,0.85,0,0.85,0,0,0,54.68,3.95,0,0.56,0.56,0,0,3.1,0,0
21Day,1.48,0.74,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,14.06,1.48,0.37,0,0,0.37,0,0.74,0,0
3Month,0,0.1,0,0,0.21,0.1,0.94,0.21,0,0.31,0.1,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0.42,0.1,0.21,0.21
22Month,0.14,0.55,0.14,0,0,0.14,3.14,0,0.27,0,0.14,0.14,0,0.14,0.27,0,0.14,0,0,0,0,0,0,0,0,0.27
