stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Muscle_cell,Neural_cell,Primordial_germ_cell
21Day,4.07,0,0,0.74,0.37,0.37,0
3Month,0,0,0.1,0,0,0.1,0.1
22Month,0,0.14,1.78,0,0,0,0
