stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,1.13,0,1.13,0,0.28,0.56,0
21Day,1.48,0,0,1.11,0,0,0,0,0,0,0.37,0,5.92,0,27.75,0,0.37,0,1.11
3Month,0,0.31,0.1,0.1,0,0.1,0.1,0,0.21,0.1,0,0.1,1.66,0.1,2.6,0.1,0,0,0
22Month,0,0.27,0,0.14,0,0,0,0.55,0,0,0,0.14,1.23,0.14,0.82,0,0,0,0
