stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0,11.84,0,0,0,0,0,0,0.56,0.56,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,18.5,0.37,0,0,0,0,0,0,0,0.37,0.37,0.37,0.74,49.95,0,1.48,0,0,0.37,0,1.48,0,0,0,0,0.74,0,0,0,0.74,0,0,0,0.37
3Month,0.1,0.52,1.04,91.43,0,0.73,0,0.1,4.26,5.62,0,24.24,4.37,0.1,14.67,2.91,3.74,1.98,2.39,0.73,0.1,0.73,0.94,0.52,0.1,0.62,0,0,0.83,2.7,0.1,0,0,0,0.94,0.73,2.5
22Month,0.14,2.73,3.01,30.88,0,0.96,0.41,0,2.6,6.56,1.37,68.87,2.32,1.64,46.05,1.23,1.23,5.47,5.33,0.14,2.19,1.78,0,0.55,0.14,1.5,0.55,0.27,0.41,0.82,0,0.27,0,0.27,0.68,0,1.78
