stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,7.89,0,0,0,0,0,0.28,0.56,0,0,0.56,0.56,0,0,0,0
21Day,0,0,0.37,11.47,0.37,0,0,0,1.48,0,0,0,0.74,0,0.37,0,0.74,0,0
3Month,0,0,0,0.31,0,0,0.62,0,0.1,0,0,0,0,0,0,0,0,0.1,0
22Month,0.14,0,0.14,0.14,0,0.14,1.09,0.14,0,0.14,0.14,0.14,0,0,0,0.41,0,0,0.27
