stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.56,0,0.85,0.85,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0,0,0
3Month,0.31,0.21,1.25,0,0.31,0.1,0.1,0.1,0,0,0.1,0,0.42,0.1,17.27,0.1
22Month,0,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0,0
