stage,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
24hpf,0,0,0,0,1,0,1,0,0
72hpf,2.54,0.28,0,0.28,0,0.56,0.28,0,0
21Day,15.54,2.59,0.37,0,0,0.37,0,0.37,0.37
