stage,Endothelial_cell,Hepatocyte,Macrophage,Neural_cell,Oligodendrocyte,Radial_glia
72hpf,0,0,0,6.48,0.28,0.28
21Day,0,0,0,2.22,0.37,0
22Month,0.14,0.41,0.14,0,0.14,0
