stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,12,0,1,0,2,0,0,0,0,0,0,1,11,9,32,0,0,0,0,9,219,0,0,0,1,0,0,0,0,2,0,0,0
72hpf,1.41,1.13,0,3.1,0.28,2.25,0,0,0,0,0,0,1.41,0,2.25,4.79,0.85,14.37,0,0.56,0.28,0.28,18.88,51.86,0,0,0,5.36,0.28,0.28,2.25,0,0.56,0,0,0
21Day,3.33,0,0,5.92,0.37,15.91,0,8.51,0,0.74,0.37,0,4.44,0,0.74,1.48,0.74,10.36,0,0,1.11,0,4.44,19.24,0,0.74,0,2.96,1.85,0.37,1.11,0.74,0,0,0,1.48
3Month,0,0,0,3.54,0,0,0.1,0.62,0.21,1.66,1.25,0.62,0.94,0.83,0,0,1.98,1.04,0.31,0,0,0.31,0.1,0.1,0,0,0,0,0.1,29.75,0.1,0,0,0.62,6.35,2.5
22Month,0,0.14,0.14,1.09,0,0,0,0.27,0,5.6,2.87,0.68,1.64,1.78,0,0,3.01,0.41,0,0,0,0,0.14,0.14,0.14,0.14,0.14,0,0,4.92,0.14,0,0,0.14,0,0.41
