stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,3,0,0,0,0,0,0,0,0,0,0,10,1,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,2.25,0,3.95,0,0,0,0,0,0,0,0,0,0.28,22.27,0,1.13,0,0.28,0,0,1.41,1.69,0,0.85,0,0,0,0,0.28,0,0,0
21Day,0.74,1.11,1.11,21.09,1.11,0,0.74,0,0,0,0,0.74,1.11,0.37,13.69,2.22,7.77,0,0,0.74,0,0.74,1.11,0,1.11,1.48,0,0,0.37,0,0,0,0
3Month,0,1.14,0.21,7.18,0,0.1,0.73,0.62,0,7.91,0.94,0.21,1.87,0.52,11.96,1.25,1.66,0.52,0,0.31,0.21,0.21,0.1,0.31,0.21,0.42,2.18,0,0,0.1,0.1,0.62,0.42
22Month,0,1.09,0.27,2.05,0,0,0.27,0.55,1.23,11.89,0.82,0.14,1.78,0.14,2.05,1.37,1.37,0.14,0.27,0.14,0,0,0.14,0.41,0,0.27,0,0.14,0,0,0.14,0,0.14
