stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0.56,0.28
21Day,0,0,0,0,0,0.37,0
22Month,0.27,0.14,2.32,0.14,0.14,0,0
