stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,1.85,0,0,0.37,0,0,0.37,0.37,0,0
3Month,0.1,0,0.94,0.1,0.1,0,1.04,0.52,0.21,0,0.21,0.1,0.94,0.1,0.1,0,0,0.21,0.83
22Month,0,0,0.14,0,0,0.14,0,0.68,0,0.14,0,0,0.41,0,0,0,0,0,0.14
