stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0.28,0,0.28,0,0.56,0.56,0,0.28,0,0,0
21Day,0,0.37,1.48,0,0,0,0,0,0,1.11,0,0,0,0.74,0.37,0,0,0,0,0,0,0,0.74
3Month,0,0.1,0.83,0.1,0.21,0.21,0,0.62,0.21,0.1,0.42,0,0.1,0.1,0.1,0.21,0,0,0,0,0.31,0.1,0.52
22Month,0.14,0,0.27,0,0,0.55,0.27,3.69,0.14,0.27,0.14,0,0,0.68,0,0,0,0,0.27,0,0,0.14,0.14
