stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0.56,0,0.28,0,0,0.28,0,0,0,0
21Day,0,0,0,16.65,1.11,1.11,0,0,0,0,0,0,0,0.37,0,1.48,3.7,12.58,0.74,0,0,0,0,1.11,1.11,0,0.37,0.37,0.37,0,0,0,0,0.37
3Month,0.1,0.31,0,41.19,0.73,0,0.31,0.21,0.31,1.25,0,11.34,1.04,0.1,1.56,1.35,2.5,1.66,1.14,0.21,0.21,0.21,0.83,0.31,0.1,0.52,0,0.52,4.99,0,0,0.42,5.3,0.31
22Month,0,0.27,0.14,17.63,0.14,0,1.09,0,0.41,0.27,0.14,5.74,0.55,0.41,0.82,0,0.14,1.23,1.09,0,0.55,0.27,0,0.14,0.14,0,0.14,0,2.87,0.27,0.14,0,0.14,0
