stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.28,1.13,0,0.28,0.28,0,1.69,0.28,0.28,0,0.28,0
21Day,0,0,1.85,0.37,0.37,0,0,0,0.37,0,0,0.74,0.37,1.85,0,0.37,0.74,0,0.37,0.37,0.37,0.37
3Month,0,0.1,0.52,0,0,0.1,0.1,0.73,0,0.31,0,0.31,0.42,0.42,0,0.1,0,0,0,0,0,0
22Month,0,0,0,0,0,0.27,0.14,0.55,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14
