stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0,2.25,1.69,0.28,0,0.28,0,0,0.28,0.28,0,0,0
21Day,0.37,0.37,0,1.11,0,0.37,0.37,0,0,0,0.37,0,0.74,0,0,0,0.74,1.48,0,0.37,1.11,1.11,0,0,0.37,0,0,0,0.37,0.37,0,0
3Month,0,0,0.1,1.04,0,0,0,0.21,0.52,0,11.34,1.04,0.21,0.52,0.1,0.42,0.83,0.83,0,0.42,0,0,0.1,0,0,0.21,1.04,0.1,0,0.1,0.62,0.31
22Month,0,0.14,0,0.41,0,0,0,0,0.41,0.27,10.66,0.55,0,0.27,0,0.14,0.82,0.27,0.14,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0
