stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.56,0,0,0,0,0,0.28,0,0,0.28,0,0.56,0,0,76.1,2.82,0.56,0.56,1.13,0.28,0,1.13,0,0,0.56,0,0,0
21Day,0.74,0,0,0.74,1.11,0,0,0,0,0.37,0.74,0,0.37,0.37,0.37,2.96,0,0.37,58.09,1.85,0,0,0.74,1.11,0,0,0.37,0.37,0,0,0,0
3Month,0,0.1,0,0.73,0,0.1,0.1,0,1.66,0.52,0,0.52,0.21,0.1,0.1,0.21,0,0,0,0,0,0.1,0,0.21,0.21,0,0,0,0,0.21,0.31,0.1
22Month,0.14,0.41,0.14,0.68,0,0,0,2.87,10.39,0.27,0.68,0.96,0,0.27,0.82,0.96,0.14,0.14,0.14,0.14,0.14,0,0.14,0,0,0,0,0,0,0.14,0,0.27
