stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0.37,1.11,0,0,0,1.48,0,0,0,2.22,0,0,0.37,0.37,0,0,0,0,0,0,1.48
3Month,0,0,0,0,10.19,0.1,0.62,9.67,0.21,0.1,0.1,0,3.12,0.31,0.1,0,0,0.21,0.1,0.1,0.1,0.31,0.21,2.6
22Month,0.14,0.14,0,0.14,7.38,0,0.41,3.42,0.14,0.27,0,0.14,2.19,0.14,0,0,0,0,0,0,0,0,0,0.41
