stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,1,3,0
72hpf,0.56,0,0,0,0,0,0.28,0
21Day,0.74,0,0,0,0,0.74,0,0
3Month,0.21,0,0.1,0.1,0.1,0.42,0,0
22Month,0,0.14,0.68,0,0,0.14,0,0.27
