stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,1.69,0.56,0.28,0,0,0,0,0,0,0,0,0.28,3.66,0,5.64,0,0,1.13,107.67,12.12,0,0,1.97,0,0,1.41,0,0,0.28,0,0,0
21Day,2.96,0.37,2.22,0,2.22,0,0.37,0,0,0,0,0.37,0,0.37,1.85,0.74,9.99,0,0,0,51.43,2.59,0,0.37,0.74,1.48,0,0,0.37,1.11,0.74,0,0,0
3Month,0.31,0,1.14,0,0,0,0,0.1,0.62,1.25,0.31,0,0.21,0,0.62,0.31,7.28,6.97,0,0,1.87,0.42,0.21,0,0,0.1,1.56,0,0,0,0,0.1,0.31,0.31
22Month,0,0.14,0,0,0,0.14,0,0,0,1.78,0,0,0.14,0,0.14,0.14,3.42,0.14,0.14,0,1.37,0.27,0.27,0,0,0,0.68,0.14,0,0,0,0,0,0
