stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,4.23,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0.74,0,0,0,0,0.74,0,0,0,0,0
3Month,0.31,0,0.1,25.07,0.31,0,3.33,0.52,0,1.66,0.83,0.1,3.64,1.87,1.04,8.22,0.42,0.1,0.1,0.62,0,2.5,0,0,0.21,0.21,0,0.21,0.42,2.7
22Month,0,0.55,3.55,23.37,0.14,0.14,7.93,0.68,0.27,8.06,0.14,0.27,85.13,2.73,3.28,3.01,1.5,0.96,0.14,0.55,0.14,6.01,0.14,0.14,0,0.41,0.14,0.27,0,1.09
