stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0
3Month,0.52,0.62,7.39,0.21,0.1,0.83,1.87,12.59,2.91,0.42,4.06,0.62,1.98,2.08,1.77,0.1,0.1,0.62,0.62,0.42,0.1,0.21,0.21,0,2.18,11.44,0.31,1.35,323.8,2.5
22Month,0.55,0.27,1.5,0,0.14,0,0.82,9.02,0.14,0.41,0.55,0,0.68,0.82,1.09,0,0.14,0.14,0,0.27,0,0,0,0.14,0.14,5.19,0,0.27,0.41,0.14
