stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,5.92,0.28,0.28,0,0,0,0.28,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0.37,0,0.37,0,0.74,0,0,4.44,1.11,0,0.37,0,0,0.74,0.37,0,0,0
3Month,0.52,0,1.35,0,0,0.21,0,1.98,0.1,0.73,0.21,0.52,0.42,0.62,0.21,0,0.42,0,0.21,0.1,0.1,3.02,0.1,0,0.1,8.53,0.42
22Month,0,0.14,0.27,0,0.14,0.55,0.27,3.83,0.14,0.41,0,0.14,0.14,0.41,0,0.41,0.14,0,0,0,0,1.91,0,0,0,0,0
