stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0.28,0,0,0,0,0.28,0,9.3,1.97,0,0,0,0,0,0.28,0
21Day,0,0,0,0.37,0,0,0.74,0,2.22,0.37,4.07,0.74,0,0.37,0.74,0.74,0,0,0.37
3Month,0,0,0.31,0,0.21,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0.1,0,0.21
22Month,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
