stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,23,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,14.09,0.28,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0,0.28,0,0,0.28,0,0
21Day,0,12.58,0,0,0,0,0,0,0,0,1.11,0,0,1.11,0.37,0,0.74,0,0,0,0.74,0
3Month,0.1,14.87,0.73,0.31,0.21,0,0.52,0.42,0.42,0,1.25,0.1,0.1,0,0,0.1,0,0.1,0.42,0,0,0.31
22Month,0.27,3.69,0.27,0,0.41,0.14,3.01,0.14,0,0,0.55,0.27,0,0,0,0,0,0,0.14,0,0,0.41
