stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0,0.85,0.85,0,0.28,24.52,7.61,0.28,0.28,0,0.28,0.28,0,0.28
21Day,0.37,0.74,0.37,0,0,0,1.11,0,0,10.73,0,0,0.37,0,0.37,0,0.37,0
22Month,0,0.27,0,16.81,0.14,0,0.14,0.14,0,0,0,0,0,0.14,0.14,0,0,0
