stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0.85,1.13,0,2.54,0,0.28,0,0,0
21Day,0,2.59,0,0,0,0,0,0,0,0.37,0,0,2.22,0,0,0,0,0,0,0.37,1.48,0,0,0,0,0,0,0.37
3Month,0.1,6.03,0.1,0.1,1.35,0.94,0,3.54,0.42,0.1,1.04,0.21,1.04,0.94,0.52,0.31,0,0.52,0.31,0.21,0,0.21,0.31,1.04,0,0.1,0.42,0.21
22Month,0,1.23,0,0,0.27,0.82,0.14,8.06,0.41,0,0.27,0,0,0.68,0.14,0,0.41,0.14,0,0,0,0,0.14,0.41,0,0,0,0.14
