stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,51,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.56,0,0,0,0,0,0,0.28,0,0,0,0.28,0.85,0,14.37,0,0,22.27,0,11.84,11.56,0,0,0,2.82,0,0.56,0.28,0,0,0,0
21Day,1.48,0.37,1.11,0.74,0,0.37,0,0,0,0,0,0.74,0.37,0,0,0,9.99,0,0,59.94,0,2.96,1.48,0.74,0,0,2.22,1.11,0.37,0.37,0,0,0,0.74
3Month,0.21,1.87,2.18,0,0.1,0,0.83,0.73,0.1,4.78,0.31,0.1,1.25,0.1,0.62,0.21,21.01,0.83,0.1,25.69,0.31,0.1,0,0.21,0,0,0.31,0.31,3.74,0,0.21,1.98,1.04,0.83
22Month,0,1.23,0.96,0,0.55,0,0.55,1.64,0.41,14.62,0.82,0.27,1.09,0,0,0.82,18.45,0.27,0.27,23.78,0,0.14,0,0,0.27,0.14,0.55,0.14,2.73,0,0,0,0,0.82
