stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0
72hpf,0,1.13,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0.56,0.28,0.28,0,0,30.44,1.97,0,0.56,0,0,0,0,0
21Day,0.37,1.11,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,9.25,0,0,0,0,0,0,0,0
3Month,0,1.14,0,0.52,0,0,0.1,0.1,0.31,1.98,0.21,0,0.52,0,0.21,0.52,0.21,0,0.1,0.1,0,0.1,0,0.42,0,0.1,1.14,0.31
22Month,0,4.65,0.27,0.14,0.14,0,0,0.14,1.78,14.62,0.14,0.14,1.09,0,0,0.41,1.37,0.14,0,0,0,0.14,0,0.14,0.14,0.27,0,0
